"Date","Actual","Forecast"
2014-01-01,10655730,9115489.98452927
2014-02-01,7681798,8111448.56941981
2014-03-01,6517514,7229117.35247723
2014-04-01,6105359,6539747.42162831
2014-05-01,5940475,6259807.92603592
2014-06-01,7920627,7638906.11697333
2014-07-01,8415321,9145900.92200378
2014-08-01,9080226,9576248.09821596
2014-09-01,7968220,8994702.17369248
2014-10-01,5759367,6956710.26652136
2014-11-01,5769083,6228653.74277859
2014-12-01,9606304,7365990.9119653
